,baseline_gat,baseline_grat,+weight,+bias20,noweight_nobias_fullattn_,grat_nu_layerw_weight,grat_nu_layerw_noweight,gcn_nu_layerw_noweight,grcn_nu_layerw_noweight,gcn_baseline,grat_nu_full_weight,grat_nu_lw_weight
0,0.802,0.8109999999999999,0.799,0.631,0.755,0.809,0.758,0.809,0.8240000000000001,0.812,0.79,0.802
1,0.8140000000000001,0.805,0.8140000000000001,0.521,0.727,0.773,0.7609999999999999,0.821,0.81,0.8270000000000001,0.785,0.828
2,0.816,0.807,0.8109999999999999,0.79,0.738,0.8140000000000001,0.767,0.8240000000000001,0.774,0.812,0.778,0.829
3,0.8059999999999999,0.792,0.809,0.45399999999999996,0.7340000000000001,0.816,0.757,0.823,0.8029999999999999,0.818,0.774,0.8
4,0.81,0.804,0.797,0.731,0.759,0.8059999999999999,0.742,0.813,0.8140000000000001,0.816,0.79,0.796
5,0.8270000000000001,0.8059999999999999,0.8170000000000001,0.563,0.7509999999999999,0.792,0.763,0.809,0.804,0.809,0.784,0.811
6,0.795,0.821,0.81,0.31,0.748,0.7959999999999999,0.774,0.815,0.825,0.815,0.7909999999999999,0.81
7,0.8240000000000001,0.804,0.802,0.619,0.7509999999999999,0.802,0.775,0.8170000000000001,0.812,0.81,0.7929999999999999,0.802
8,0.815,0.797,0.812,0.446,0.742,0.7829999999999999,0.774,0.818,0.797,0.8170000000000001,0.774,0.798
9,0.7879999999999999,0.804,0.8109999999999999,0.72,0.758,0.804,0.743,0.8170000000000001,0.8,0.8190000000000001,0.784,0.802
